"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U2";"SMB_Molex_0731000103_THT_RA";1;"~";;;
2;"BT1";"BarrelJack_CUI_PJ-102AH_Horizontal";1;"Battery_Cell";;;
3;"U1";"DIP-8_W7.62mm";1;"OPT101P";;;
